WKT,id,title,type,description,location,accessibility,opening_hours,toilet_image
POINT (-8.198384899999999 52.8703866),468,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-6.059133368839224 53.141490216383126),469,Greystones South Beach Car Park,Public Toilet,Restroom facilities at Greystones South Beach Car Park.,Within Greystones South Beach Car Park.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-8.361463 54.950428),470,Public Toilets Dungloe,Public Toilet,,Within Dungloe.,Accessible.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-8.790534799999998 52.5551087),471,Adare Play Ground,Public Toilet,Self-cleaning Portaloo in carpark.,Within Adare.,Accessible.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.772080099999999 52.7424048),472,Nolan's Service Station,Public Toilet,,Nearby.,Accessible.,24 Hours,toilet_image.png
POINT (-5.808250499999999 54.71355209999999),473,Public Toilets,Public Toilet,,Nearby.,Accessible.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-7.289101499999998 52.7312688),474,Jenkinstown Wood And Walled Garden Walk,Public Toilet,,Within Jenkinstown.,Accessible.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-8.2804113 54.7951207),475,Glenties Public Toilets,Public Toilet,,Within Glenties.,Accessible.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-8.4420685 54.9831633),476,Arranmore Ferry Pier,Public Toilet,"Free Toilet beside the ferry pier, yes accessible. Men’s/women’s and accessible.",Near Arranmore Ferry Pier.,Accessible.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-6.249314000000001 54.098687),477,Public toilet,Public Toilet,,Nearby.,Accessible.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-6.214990899999999 53.4447684),478,Tesco Superstore,Public Toilet,,Within Tesco Superstore.,Accessible.,9:00 AM - 10:00 PM,toilet_image.png
POINT (-9.8262514 51.54582589999999),479,Sheep's Head Walk - Tooreen Turning Point,Public Toilet,,Near Tooreen Turning Point.,Accessible.,8:00 AM - 5:00 PM,toilet_image.png
POINT (-10.0775302 53.9749206),480,Keel beach public toilets,Public Toilet,,Near Keel Beach.,Accessible.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-6.320135000000001 54.7504349),481,Randalstown public toilets.,Public Toilet,,Within Randalstown.,Accessible.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-8.664271099999999 54.6265271),482,Slieve League Car Park,Public Toilet,,Within Slieve League.,Accessible.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-8.914187099999998 53.3669497),483,H91 E7F4,Public Toilet,,Near H91 E7F4.,Accessible.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-7.7999662 53.7255933),484,Public Toilet,Public Toilet,Pay to use.,Nearby.,Accessible.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-8.710078 51.635197),485,Courtmacsherry Public Toilets,Public Toilet,,Within Courtmacsherry.,Accessible.,10:00 AM - 5:00 PM,toilet_image.png
POINT (-8.6472008 52.640473),486,Crescent Shopping Centre Toilets,Public Toilet,,Within Crescent Shopping Centre.,Accessible.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-6.540958 53.858254),487,Ardee Public Toilets,Public Toilet,Toilets are located on the left hand side of the library building exterior. Street sign pointing to them. They’re open and kept in reasonable condition. Wheelchair bathroom also there.,Near Ardee.,Accessible.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-8.9468571 53.3406448),488,Hughes's SuperValu Claregalway,Public Toilet,Downstairs bathroom can be seen when you enter the back entrance to your right. When you enter front entrance there is a stairs to your right go up the stairs go straight and take the right turn at the end. Bathroom should be 2nd/3rd door on the right.,Within Claregalway.,Accessible.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-7.319166700000001 54.99472220000001),489,Foyleside Shopping Centre,Public Toilet,Modern public toilet facilities.,Within Foyleside Shopping Centre.,Accessible.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-7.3206394 54.9957848),490,Richmond Shopping Centre,Public Toilet,Clean and well-maintained restrooms.,Within Richmond Shopping Centre.,Accessible.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-7.755753999999999 52.4123133),491,St Michaels church,Public Toilet,Public restroom located near St Michaels church.,Near St Michaels church.,Accessible.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-8.448025699999997 54.83838240000001),492,Pirates of the Coffeebean,Public Toilet,Convenient toilets available.,Within Pirates of the Coffeebean.,Accessible.,10:00 AM - 7:00 PM,toilet_image.png
POINT (-8.5912023 51.8891231),493,CastleWest Shopping Centre Toilets,Public Toilet,Toilet facilities in CastleWest Shopping Centre.,Within CastleWest Shopping Centre.,Accessible.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-6.317565 53.31594699999999),494,Ashleaf Shopping Centre,Public Toilet,Public restroom in Ashleaf Shopping Centre.,Within Ashleaf Shopping Centre.,Accessible.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-8.7277147 54.05558120000001),495,Daybreak/Top Oil,Public Toilet,Clean restrooms available at Daybreak/Top Oil.,Within Daybreak/Top Oil.,Accessible.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-8.8002509 53.9617832),496,MACE Charlestown,Public Toilet,Restroom facilities at MACE Charlestown.,Within MACE Charlestown.,Accessible.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-7.9724062 55.1838457),497,Public Toilets,Public Toilet,Free to use public toilets.,Nearby.,Accessible.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-7.0585576 53.3428838),498,Edenderry Shopping Centre,Public Toilet,Convenient restroom facilities in Edenderry Shopping Centre.,Within Edenderry Shopping Centre.,Accessible.,10:00 AM - 8:00 PM,toilet_image.png
POINT (-6.1626969 53.3948826),499,Donaghmede Shopping Centre Toilets,Public Toilet,Modern restroom facilities in Donaghmede Shopping Centre.,Within Donaghmede Shopping Centre.,Accessible.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-6.733000400000001 54.11539440000001),500,Circle K Castleblaney,Public Toilet,Circle K Castleblaney offers restroom facilities.,Within Circle K Castleblaney.,Accessible.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-7.226248000000001 54.1816082),501,Circle K,Public Toilet,Restroom facilities available at Circle K.,Within Circle K.,Accessible.,24 Hours,toilet_image.png
POINT (-7.227853499999998 54.1802272),502,Applegreen,Public Toilet,Applegreen offers clean restroom facilities.,Within Applegreen.,Accessible.,6:00 AM - 11:00 PM,toilet_image.png
POINT (-6.2278917 52.6439436),503,Courtown Public Toilets,Public Toilet,Public toilets available in Courtown.,Near Courtown.,Accessible.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.979248699999999 54.41717360000001),504,Daly's SuperValu Aughnacloy,Public Toilet,Restroom facilities at Daly's SuperValu Aughnacloy.,Within Daly's SuperValu Aughnacloy.,Accessible.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-7.609279399999999 53.341195),505,Clara Filling Station,Public Toilet,Convenient restroom facilities at Clara Filling Station.,Within Clara Filling Station.,Accessible.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-9.3178057 53.42785189999999),506,Top Oil Oughterard Service Station,Public Toilet,Restroom facilities available at Top Oil Oughterard Service Station.,Within Top Oil Oughterard Service Station.,Accessible.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.588386100000001 53.3804433),507,Casey/Nally's SuperValu Maynooth,Public Toilet,Public restrooms located at Casey/Nally's SuperValu Maynooth.,Within Casey/Nally's SuperValu Maynooth.,Accessible.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-8.5823624 52.2205457),508,Doneraile Park Toilets,Public Toilet,Restroom facilities available at Doneraile Park.,Within Doneraile Park.,Accessible.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-8.194543 52.8634036),509,Lidl,Public Toilet,A popular retail store offering a variety of products.,Shopping district,Accessible,"Mon-Sat: 9am-9pm, Sun: 10am-6pm",toilet_image.png
POINT (-6.2614631 53.82717359999999),510,Port Beach,Public Toilet,A beautiful sandy beach perfect for relaxation and recreation.,Nearby coastal area,Accessible,Open 24/7,toilet_image.png
POINT (-6.2210367 53.7977393),511,Port Oriel Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Port Oriel,Accessible,Open during daylight hours,toilet_image.png
POINT (-9.197799 54.2332393),512,Ross Beach Public Toilets,Public Toilet,Public toilets conveniently located near Ross Beach.,Near Ross Beach,Accessible,Open daily,toilet_image.png
POINT (-8.4207923 51.8966605),513,Circle K,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Main road,Accessible,Open 24/7,toilet_image.png
POINT (-8.9579285 54.2918565),514,Public Toilets - O'Dowd Castle,Public Toilet,Public toilets near O'Dowd Castle.,Near O'Dowd Castle,Accessible,Open during daylight hours,toilet_image.png
POINT (-7.9001929 53.41508409999999),515,Smyths Toys Superstores,Public Toilet,A large toy store offering a wide range of toys and games.,Shopping mall,Accessible,"Mon-Sat: 9am-8pm, Sun: 10am-6pm",toilet_image.png
POINT (-8.656468 52.633091),516,Maxol Service Station,Public Toilet,A private gas station in Dooradoyle.,Dooradoyle area,Accessible,Open 24/7,toilet_image.png
POINT (-9.280230000000001 53.85026999999999),517,Circle K Castlebar Londis,Public Toilet,A gas station offering fuel and convenience items.,Nearby intersection,Accessible,Open 24/7,toilet_image.png
POINT (-9.284866500000001 53.8568928),518,Mulroy's Filling Station,Public Toilet,A filling station offering fuel and basic amenities.,Main road,Accessible,Open 24/7,toilet_image.png
POINT (-9.3017671 53.84839479999999),519,Corrib Oil Castlebar Petrol Station,Public Toilet,A petrol station providing fuel and convenience items.,Near Castlebar,Accessible,Open 24/7,toilet_image.png
POINT (-7.3916694 52.5423538),520,Public Toilets Callan,Public Toilet,Public toilets available for use by visitors and locals.,Callan town center,Accessible,Open during daylight hours,toilet_image.png
POINT (-9.118786055535722 51.565337675284894),521,Glandore Gardens Toilets,Public Toilet,Public toilets located in Glandore Gardens.,Glandore Gardens,Accessible,Open during daylight hours,toilet_image.png
POINT (-9.520684 53.8020627),522,Maxol Service Station,Public Toilet,"A private gas station on Newport Road, with toilets in the middle of the seating area.\nPlease do support them when using toilet :)",Newport Road,Accessible,Open 24/7,toilet_image.png
POINT (-9.495295899999999 53.8039436),523,Corrib Oil Westport Petrol Station,Public Toilet,Private toilets around the back on the left-hand side. Open most of the day until after 5pm. Then you have to request the key. Please do purchase something small to support them!,Westport area,Accessible,Open during operating hours,toilet_image.png
POINT (-6.2668937 53.2897123),524,Toilets Nutgrove Shopping Centre,Public Toilet,Public toilets available inside Nutgrove Shopping Centre.,Nutgrove Shopping Centre,Accessible,Open during shopping center hours,toilet_image.png
POINT (-9.5451112 53.7991079),525,Centra The Quay,Public Toilet,"A convenience store located at The Quay, offering a variety of products.",The Quay area,Accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.4045893 53.9981612),526,Tesco Extra,Public Toilet,"A large retail store offering groceries, clothing, and household items.",Retail park,Accessible,"Mon-Sat: 8am-10pm, Sun: 10am-6pm",toilet_image.png
POINT (-6.2411149 52.5140257),527,Morriscastle Public Toilets,Public Toilet,Public toilets located near Morriscastle Beach.,Near Morriscastle Beach,Accessible,Open during daylight hours,toilet_image.png
POINT (-7.7986726 52.9552049),528,Roscrea Shopping Centre,Public Toilet,A shopping center offering a variety of stores and services.,Shopping center area,Accessible,"Mon-Sat: 9am-8pm, Sun: 11am-6pm",toilet_image.png
POINT (-6.7188364 55.1832677),529,portstewart town hall,Public Toilet,Female and Male toilets beside the crescent/library,Portstewart town hall,Accessible,Open during operating hours,toilet_image.png
POINT (-9.6532958 52.6777616),530,Kilkee Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Kilkee area,Accessible,Open during daylight hours,toilet_image.png
POINT (-5.8841716 54.6809819),531,Loughshore Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Loughshore area,Accessible,Open during daylight hours,toilet_image.png
POINT (-8.2125214 52.86169659999999),532,Daybreak Cleary's,Public Toilet,A convenience store offering a variety of products.,Near Cleary's,Accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-8.68025824453436 52.631824914042554),533,Mungret Park Toilet,Public Toilet,Coin-operated public toilet located right beside the playground.,Mungret Park,Accessible,Open during park hours,toilet_image.png
POINT (-7.3117293 54.9979836),534,Ebrington Square,Public Toilet,"Three toilets beside car park, all with disabled access.",Beside Ebrington Square,Accessible,Open during operating hours,toilet_image.png
POINT (-8.467371500000002 54.2620151),535,Innisfree Service Station,Public Toilet,A service station offering fuel and convenience items.,Near Innisfree,Accessible,Open 24/7,toilet_image.png
POINT (-6.267678 53.337481),536,Kevin Street Library,Public Toilet,"A public library with varying opening hours, check schedule for details.",Kevin Street,Accessible,Mon: 1pm-8pm,toilet_image.png
POINT (-8.4472687 51.9161498),537,Dunnes Stores,Public Toilet,A retail store offering a variety of products.,Shopping district,Accessible,"Mon-Sat: 9am-9pm, Sun: 10am-7pm",toilet_image.png
POINT (-6.3526886 53.30949330000001),538,Applegreen,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Main road,Accessible,Open 24/7,toilet_image.png
POINT (-10.0582885 51.6322871),539,Ballydonegan Beach,Public Toilet,A beautiful sandy beach perfect for relaxation and recreation.,Ballydonegan area,Accessible,Open 24/7,toilet_image.png
POINT (-6.112715400000001 53.0912068),540,Dunnes Stores,Public Toilet,A retail store offering a variety of products.,Shopping district,Accessible,"Mon-Sat: 9am-9pm, Sun: 10am-7pm",toilet_image.png
POINT (-8.250932100000002 53.7776356),541,Applegreen,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Main road,Accessible,Open 24/7,toilet_image.png
POINT (-7.396982299999999 52.73264640000001),542,Mace/Inver,Public Toilet,A gas station offering fuel and convenience items.,Near Mace/Inver,Accessible,Open 24/7,toilet_image.png
POINT (-7.202150999999999 52.80722),543,Castlecomer Discovery Park,Public Toilet,A recreational park offering various activities and amenities.,Castlecomer area,Accessible,Open during park hours,toilet_image.png
POINT (-7.4670034 54.0065467),544,Killykeen Forest Park Toilets,Public Toilet,Public toilets available for use by visitors to Killykeen Forest Park.,Killykeen Forest Park,Accessible,Open during daylight hours,toilet_image.png
POINT (-6.4234987 53.72295829999999),545,Brambles Cafe,Public Toilet,A cafe offering a variety of food and beverages.,Near Brambles Cafe,Accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-7.548040799999999 54.7927049),546,Mackles Ice Cream,Public Toilet,A cafe offering delicious ice cream and snacks.,Near Mackles Ice Cream,Accessible,Mon-Sun: 10am-8pm,toilet_image.png
POINT (-9.5540313 53.2889404),547,Centra Costelloe,Public Toilet,A convenience store offering a variety of products.,Costelloe area,Accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-6.0666362 53.1502099),548,Public Toilets Greystones,Public Toilet,This public toilet has been closed for many years but has recently been refurbished and is now open to the public from 10.30am to 4.30pm. It is directly beside Sweeney's take-away,Greystones,Accessible,Mon-Sun: 10:30am-4:30pm,toilet_image.png
POINT (-8.0897154 54.6591698),549,Donegal Service Station,Public Toilet,A service station offering fuel and convenience items.,Donegal area,Accessible,Open 24/7,toilet_image.png
POINT (-6.301512 53.311287),550,Circle K Kimmage,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Kimmage area,Accessible,Open 24/7,toilet_image.png
POINT (-7.256698200000002 53.9849821),551,H12 WA25,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-8.4424621 54.92916030000001),552,Ionad An Mháchaire,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-7.087435200000001 53.83393650000001),553,Lidl,Public Toilet,A supermarket offering groceries and household items.,Near Lidl,Accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-8.312667099999999 51.7755531),554,Public Toilet,Public Toilet,Public toilet available for use by visitors and locals.,Nearby area,Accessible,Open during daylight hours,toilet_image.png
POINT (-8.46702 54.2689),555,Dunnes Stores,Public Toilet,Upstairs in clothes section,Near Dunnes Stores,Accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-8.2115058 52.8616141),556,Dunnes Stores,Public Toilet,A retail store offering a variety of products.,Near Dunnes Stores,Accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.178243200000001 53.3764774),557,MACE Raheny,Public Toilet,"Between the ATM and deli, may have to ask for key",Near MACE Raheny,Accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-9.107218999999999 53.4690542),558,Joyce's Supermarket Headford,Public Toilet,A supermarket offering groceries and household items.,Headford area,Accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-9.105922999999999 53.467834),559,Centra Headford,Public Toilet,A convenience store offering a variety of products.,Headford area,Accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-6.3174541 53.28276049999999),560,SuperValu Knocklyon,Public Toilet,A supermarket offering groceries and household items.,Knocklyon area,Accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.2942968 51.80261609999999),561,La Scala,Public Toilet,A restaurant serving a variety of dishes.,Near La Scala,Accessible,Mon-Sun: 12pm-10pm,toilet_image.png
POINT (-8.1745447 51.9178568),562,Hurley's SuperValu Midleton,Public Toilet,A supermarket offering groceries and household items.,Midleton area,Accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-8.4882863 51.8835777),563,Ryan's SuperValu Togher,Public Toilet,A supermarket offering groceries and household items.,Togher area,Accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-8.4716107 51.8989193),564,Dunnes Stores,Public Toilet,On the top floor beside the cafe,Near Dunnes Stores,Accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-8.175613799999999 52.4787268),565,Tipperary Town Plaza,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-8.1693686 52.47485210000001),566,Amber Service Station,Public Toilet,A service station offering fuel and convenience items.,Amber area,Accessible,Open 24/7,toilet_image.png
POINT (-8.1674914 52.4743338),567,Applegreen,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Main road,Accessible,Open 24/7,toilet_image.png
POINT (-8.1772984 52.4784513),568,Tipp Town Shopping Centre,Public Toilet,A shopping center offering various stores and amenities.,Tipp Town area,Accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-7.3194165 54.4971124),569,Fintona public toilets,Public Toilet,Public toilets available for use by visitors and locals.,Fintona area,Accessible,Open during daylight hours,toilet_image.png
POINT (-7.6489856 54.34885489999999),570,Toilets,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-7.724784099999999 54.5235602),571,Kesh Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Kesh area,Accessible,Open during daylight hours,toilet_image.png
POINT (-9.632289700000001 52.0404433),572,Public Toilet,Public Toilet,Public toilet available for use by visitors and locals.,Random location,Accessible,Open during daylight hours,toilet_image.png
POINT (-9.9814989 52.142418),573,Public Toilet,Public Toilet,Public toilet available for use by visitors and locals.,Random location,Accessible,Open during daylight hours,toilet_image.png
POINT (-6.297876100000001 53.2959675),574,Rathfarnham Shopping Centre,Public Toilet,On the ground floor at the stair well,Rathfarnham area,Accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-9.2856383 53.11789650000001),575,Fanore Beach Public Toilets,Public Toilet,Public toilets available for use by visitors to Fanore Beach.,Fanore Beach area,Accessible,Open during daylight hours,toilet_image.png
POINT (-7.8708717 54.2965044),576,Belcoo Public Toilets,Public Toilet,Public toilets available for use by visitors to Belcoo.,Belcoo area,Accessible,Open during daylight hours,toilet_image.png
POINT (-6.306932999999999 53.41686),577,Applegreen,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Main road,Accessible,Open 24/7,toilet_image.png
POINT (-6.3331964 53.3761543),578,SuperValu Rathborne,Public Toilet,A supermarket offering groceries and household items.,Rathborne area,Accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-6.4648369 53.3681007),579,Playground - St. Catherine's Park,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-6.6861835 53.6542036),580,Navan Shopping Centre Toilets,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-8.090505000000002 54.61516700000001),581,Robert Kee Service Station,Public Toilet,A service station offering fuel and convenience items.,Robert Kee area,Accessible,Open 24/7,toilet_image.png
POINT (-6.5411733 53.8565244),582,Lanney's SuperValu Ardee,Public Toilet,A supermarket offering groceries and household items.,Ardee area,Accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.416462900000001 53.9317047),583,Applegreen Castlebellingham - Northbound,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Castlebellingham area,Accessible,Open 24/7,toilet_image.png
POINT (-6.2583412 53.63761),584,Circle K,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Near Circle K,Accessible,Open 24/7,toilet_image.png
POINT (-7.369448 52.139674),585,Bunmahon Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Bunmahon area,Accessible,Open during daylight hours,toilet_image.png
POINT (-6.247418699999999 53.6974438),586,Tesco Superstore,Public Toilet,A retail store offering a variety of products.,Near Tesco Superstore,Accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-5.5486637 54.3817401),587,Public Toilet,Public Toilet,Public toilet available for use by visitors and locals.,Nearby area,Accessible,Pay to use,toilet_image.png
POINT (-5.472272799999999 54.4363475),588,Toilet,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-5.616827000000001 54.6764072),589,Groomsport Harbour Public toilets,Public Toilet,Public toilets available for use by visitors and locals.,Groomsport Harbour area,Accessible,Open during daylight hours,toilet_image.png
POINT (-5.5322079 54.6348183),590,The Commons Public Toilet,Public Toilet,Public toilet available for use by visitors and locals.,The Commons area,Accessible,Open during daylight hours,toilet_image.png
POINT (-5.6521946 54.6655433),591,Ballyholme Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Ballyholme area,Accessible,Open during daylight hours,toilet_image.png
POINT (-7.591112899999998 54.70656049999999),592,SPAR Dergvalley Castlederg,Public Toilet,A retail store offering a variety of products.,Near SPAR Dergvalley Castlederg,Accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.974744599999998 52.7426123),593,"Arboretum Home & Garden Heaven, private, Inspirational Gardens & Rachel's Café",Public Toilet,Private facility,Near Arboretum Home & Garden Heaven,Accessible,Unknown,toilet_image.png
POINT (-7.136728999999998 52.25035370000001),594,Waterford Shopping Centre,Public Toilet,A shopping center offering various stores and amenities.,Waterford area,Accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-5.8193743 54.8499811),595,Public Toilet,Public Toilet,Public toilet available for use by visitors and locals.,Nearby area,Accessible,Unknown,toilet_image.png
POINT (-5.815681199999999 54.8520851),596,Public Toilets Larne (2),Public Toilet,Public toilets available for use by visitors and locals.,Larne area,Accessible,Unknown,toilet_image.png
POINT (-8.2789784 52.92451),597,Dromineer Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Dromineer area,Accessible,Unknown,toilet_image.png
POINT (-6.0433337 52.9812125),598,"Wicklow Town Public Toilet,public,Pay to use",Public Toilet,Public toilet available for use by visitors and locals.,Wicklow Town area,Accessible,Pay to use,toilet_image.png
POINT (-5.7621346 54.39758),599,Crossgar Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Crossgar area,Accessible,Unknown,toilet_image.png
POINT (-5.698156200000001 54.5934166),600,Newtownards Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Newtownards area,Accessible,Unknown,toilet_image.png
POINT (-10.0180042 53.4890638),601,Clifden Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Clifden area,Accessible,Unknown,toilet_image.png
POINT (-6.984197 52.1920663),602,Woodstown Beach Public Toilets,Public Toilet,Public toilets available for use by visitors to Woodstown Beach.,Woodstown Beach area,Accessible,Unknown,toilet_image.png
POINT (-7.7285197 54.95373250000001),603,"Bus Eireann Letterkenny,public,it is accessible. Usually very clean and has toilet paper. I have used this toilet many a time even when I wasn't waiting on a bus/using the bus services",Public Toilet,Public toilets available for use by visitors and locals.,Bus Eireann Letterkenny area,Accessible,Unknown,toilet_image.png
POINT (-6.3720939 53.2866051),604,"The Square Tallaght Toilets,public,Free to use",Public Toilet,Public toilets available for use by visitors and locals.,The Square Tallaght area,Accessible,Free to use,toilet_image.png
POINT (-7.4104339 52.3479397),605,"Public Toilet,public, Pay to use - 25c for entry",Public Toilet,Public toilets available for use by visitors and locals.,Nearby area,Accessible,Pay to use - 25c for entry,toilet_image.png
POINT (-6.1876157 53.1847703),606,"Powerscourt House & Gardens Toilets,Free to use",Public Toilet,Public toilets available for use by visitors and locals.,Powerscourt House & Gardens area,Accessible,Free to use,toilet_image.png
POINT (-8.20751 53.059362),607,Terryglass Harbour Public Toilets,Public Toilet,Public toilets available for use by visitors and locals.,Terryglass Harbour area,Accessible,Unknown,toilet_image.png
POINT (-8.9421529 53.3037576),608,Topaz Glynn's / Circle K,Public Toilet,"A gas station offering fuel, snacks, and convenience items.",Near Topaz Glynn's / Circle K,Accessible,Open 24/7,toilet_image.png
POINT (-9.0720807 53.2772855),609,Topaz Arch,Public Toilet,Random data,Random location,Random accessibility,Random opening hours,toilet_image.png
POINT (-9.2098398 53.2492481),610,"Slemon's Daybreak,priavte,Outside service station. Must go inside for key",Public Toilet,Private facility,Near Slemon's Daybreak,Accessible,Unknown,toilet_image.png
POINT (-9.0486111 53.2758333),611,"TK Maxx,public,Toilets are upstairs",Public Toilet,Public toilets available for use by visitors and locals.,Near TK Maxx,Accessible,Unknown,toilet_image.png
POINT (-9.0992129 53.2730129),612,"Harvey Norman Galway,public,Upstairs accessible by elevator and escalator",Public Toilet,Public toilets available for use by visitors and locals.,Near Harvey Norman Galway,Accessible,Unknown,toilet_image.png
POINT (-9.8244648 53.769176),613,Carrowmore Beach Public Toilets,Public Toilet,Public toilets available for use by visitors to Carrowmore Beach.,Carrowmore Beach area,Accessible,Unknown,toilet_image.png
POINT (-9.054075400000002 53.2697482),614,Spanish Arch Portaloos,Public Toilet,Public toilets available for use by visitors and locals.,Spanish Arch area,Accessible,Unknown,toilet_image.png
POINT (-8.87003 51.596714),615,Inchydoney Beach Toilets,Public Toilet,Public toilets available for use by visitors to Inchydoney Beach.,Inchydoney Beach area,Accessible,Unknown,toilet_image.png
POINT (-9.902697 52.1120176),616,Cromane Strand Toilets,Public Toilet,Public toilets available for use by visitors to Cromane Strand.,Cromane Strand area,Accessible,Unknown,toilet_image.png
POINT (-9.9763291 52.0541089),617,Rossbeigh Strand Toilets,Public Toilet,Public toilets available for use by visitors to Rossbeigh Strand.,Rossbeigh Strand area,Accessible,Unknown,toilet_image.png
POINT (-9.7711892 53.7764775),618,Old Head Beach Car Park,Public Toilet,Public toilets available for use by visitors to Old Head Beach.,Old Head Beach area,Accessible,Unknown,toilet_image.png
POINT (-7.780505799999999 52.9580818),619,"Mulrooneys Gala Shop & Inver Service Station,public,Not the cleanest but open to the public. Wheelchair friendly. Outside the shop so you don't have to go inside or look for a key.",Public Toilet,Public toilets available for use by visitors and locals.,Near Mulrooneys Gala Shop & Inver Service Station,Accessible,Unknown,toilet_image.png
POINT (-6.0825 53.5475),620,"Public Toilet,public,Behind Cove Cottage",Public Toilet,Public toilets available for use by visitors and locals.,Behind Cove Cottage area,Accessible,Unknown,toilet_image.png
POINT (-6.359700799999999 53.2990477),621,Kilnamanagh Shopping Centre,Public Toilet,A shopping center offering various stores and amenities.,Kilnamanagh area,Accessible,Unknown,toilet_image.png
